Brand,time_period,qua,nat,compnat
A1,2007-11-05,0.731367863314028,7223443,14023661
A1,2007-11-12,0.754514975698358,7718392,16261679
A1,2007-11-19,0.630681270469415,11103587,14085884
A1,2007-11-26,0.717176478005092,33018273,47114674
A1,2007-12-03,0.708450332125786,9248459,14983041
A1,2007-12-10,0.698148836646875,10142601,16639237
A1,2007-12-17,0.722792777697442,9194273,13272322
A1,2007-12-24,0.719109262936032,5747338,11833252
A1,2007-12-31,0.67890267526304,15452040,20129838
A1,2008-01-07,0.659074524978468,3640521,5623520
A1,2008-01-14,0.680956760006303,3128479,10221226
A1,2008-01-21,0.75029939849956,2836340,6094002
A1,2008-01-28,0.731811407520488,6910216,16465148
A1,2008-02-04,0.752335377025715,876480,5652176
A1,2008-02-11,0.69857751423485,653638,4091598
A1,2008-02-18,0.714972376337614,227834,3208846
A1,2008-02-25,0.730221958288036,3879199,12702808
A1,2008-03-03,0.694832402502387,1738604,2923902
A1,2008-03-10,0.719685917106603,2004766,3509263
A1,2008-03-17,0.690007791094033,2022793,2602255
A1,2008-03-24,0.77676679695336,1632266,2787359
A1,2008-03-31,0.723578645060844,4503329,9594692
A1,2008-04-07,0.697453152435222,828769,5638502
A1,2008-04-14,0.694611375609967,854573,6761464
A1,2008-04-21,0.677627664804203,2835969,8080719
A1,2008-04-28,0.712528463558842,7278146,13137772
A1,2008-05-05,0.707829024329764,4762007,4842584
A1,2008-05-12,0.694216479869933,715003,6415832
A1,2008-05-19,0.709586041842031,453409,7775732
A1,2008-05-26,0.718985230103054,2659629,13801072
A1,2008-06-02,0.7793436451351,2990888,4433147
A1,2008-06-09,0.765915986149114,3848180,3454753
A1,2008-06-16,0.718877461074103,3504820,4390726
A1,2008-06-23,0.606095465706567,2240650,5287456
A1,2008-06-30,0.634314489189497,3219081,13435668
A1,2008-07-07,0.833655371227457,521288,6435820
A1,2008-07-14,0.697261741654891,831869,5407748
A1,2008-07-21,0.755335818973658,721634,3464330
A1,2008-07-28,0.780616006178817,3976178,14153469
A1,2008-08-04,0.764367910514659,3000316,9002839
A1,2008-08-11,0.729736136002371,3037428,7154538
A1,2008-08-18,0.677751028498046,3550269,7061276
A1,2008-08-25,0.74343488265638,2799188,5485123
A1,2008-09-01,0.745229236134468,6495483,25053616
A1,2008-09-08,0.746201867405154,1518358,7631638
A1,2008-09-15,0.684592238935027,787077,7742757
A1,2008-09-22,0.658137764072835,1168277,4936112
A1,2008-09-29,0.726345478285581,6418433,22312438
A1,2008-10-06,0.721145646434366,1518606,6187814
A1,2008-10-13,0.699287054032051,3392643,7213514
A1,2008-10-20,0.699477444185715,4282741,8026063
A1,2008-10-27,0.695324024446889,11950053,26646044
A1,2008-11-03,0.735320845109204,2829494,7349422
A1,2008-11-10,0.728873452776936,3577336,10040935
A1,2008-11-17,0.737329789213368,2984919,8087661
A1,2008-11-24,0.733108908369098,6605138,12685236
A1,2008-12-01,0.747788186089071,15060903,30944305
A1,2008-12-08,0.743387374625472,3276610,12504093
A1,2008-12-15,0.75592866981658,6524574,10798579
A1,2008-12-22,0.731820104732401,3333303,6825027
A1,2008-12-29,0.709889822350029,12697639,11777595
A1,2009-01-05,0.762050647241706,2459715,1741601
A1,2009-01-12,0.745962676886311,1727492,1879914
A1,2009-01-19,0.691759282996734,1000331,1461449
A1,2009-01-26,0.750701085330439,1987354,8558550
A1,2009-02-02,0.725658812605499,106297,1756220
A1,2009-02-09,0.693889349981807,348833,1266785
A1,2009-02-16,0.680716914884776,479510,1414584
A1,2009-02-23,0.74997792904929,3210864,5576603
A1,2009-03-02,0.764435772651878,2321900,1027708
A1,2009-03-09,0.680443170748534,2232544,1870828
A1,2009-03-16,0.668401520183198,1380919,3785235
A1,2009-03-23,0.734309999872121,1790707,3463755
A1,2009-03-30,0.716034868423664,2754716,4497052
A1,2009-04-06,0.670540374371541,850062,1160722
A1,2009-04-13,0.644739566921001,378007,4123865
A1,2009-04-20,0.732961539517629,50433,4942670
A1,2009-04-27,0.672369339304107,466257,10554505
A1,2009-05-04,0.699455915316847,223905,7979755
A1,2009-05-11,0.693937749196127,7028,7827840
A1,2009-05-18,0.610913656980843,44428,8013518
A1,2009-05-25,0.654512484281681,1280987,7388720
A1,2009-06-01,0.720145399773997,1899269,18819342
A1,2009-06-08,0.67351030443179,178812,4833625
A1,2009-06-15,0.688849044810927,150214,3633434
A1,2009-06-22,0.670819520676489,194885,2339891
A1,2009-06-29,0.703602804609168,1005074,10180511
A1,2009-07-06,0.660162682898202,222450,1371564
A1,2009-07-13,0.649509356958382,592799,924581
A1,2009-07-20,0.673644963292816,237713,1405865
A1,2009-07-27,0.688064238529665,1122945,10669528
A1,2009-08-03,0.663953279015764,198988,4088035
A1,2009-08-10,0.692555469249681,334020,2736775
A1,2009-08-17,0.711193766723567,159905,987231
A1,2009-08-24,0.679766041833318,337278,1881957
A1,2009-08-31,0.632689026077915,2973601,12289699
A1,2009-09-07,0.687590086021267,4868686,7110742
A1,2009-09-14,0.741190010173863,7489010,6686576
A1,2009-09-21,0.602933677780848,5203627,9654819
A1,2009-09-28,0.705892226970935,4179569,20280068
A1,2009-10-05,0.649050754113032,2913955,9330364
A1,2009-10-12,0.693163942611681,5413521,12365128
A1,2009-10-19,0.70256083589701,4752452,7304559
A1,2009-10-26,0.686318884766779,9169657,22807839
A1,2009-11-02,0.728611712976281,7064069,9866370
A1,2009-11-09,0.669344773568704,5528723,9413483
A1,2009-11-16,0.701892585239317,4962289,8195547
A1,2009-11-23,0.733962264385192,6283617,8471952
A1,2009-11-30,0.675139220037046,5667754,23726468
A1,2009-12-07,0.7010309076879,3231825,10107673
A1,2009-12-14,0.615053374145059,3058163,8562253
A1,2009-12-21,0.680187194587063,1365373,5880735
A1,2009-12-28,0.722434855982491,1715999,12879070
A1,2010-01-04,0.685986728684124,1520450,687850
A1,2010-01-11,0.700823994754303,516895,3569316
A1,2010-01-18,0.694544940994779,1855351,3955684
A1,2010-01-25,0.715758588916222,1543462,2282356
A1,2010-02-01,0.676251092686479,1707699,5395514
A1,2010-02-08,0.663386634654301,1379453,2784301
A1,2010-02-15,0.636950641595995,539770,2003227
A1,2010-02-22,0.632382830303537,891637,1948526
A1,2010-03-01,0.680969525271233,2770067,10517995
A1,2010-03-08,0.642662823443903,1021956,4611300
A1,2010-03-15,0.631463058218564,2840763,2222209
A1,2010-03-22,0.582691873739508,2803794,13752914
A1,2010-03-29,0.689741927519297,1808574,12241350
A1,2010-04-05,0.663369139296744,1506944,8212039
A1,2010-04-12,0.673738114437379,830808,4816597
A1,2010-04-19,0.655781121194372,526251,5021339
A1,2010-04-26,0.639186579162881,4195755,14567072
A1,2010-05-03,0.680980807222561,4635152,9387752
A1,2010-05-10,0.658087724451312,3004096,7550177
A1,2010-05-17,0.610892203723223,4195483,11143538
A1,2010-05-24,0.757695398274866,3511917,13956963
A1,2010-05-31,0.665355089957041,6289941,16454632
A1,2010-06-07,0.674653596418011,1208966,6084297
A1,2010-06-14,0.673654709472218,3733719,7708988
A1,2010-06-21,0.701440275314823,2666154,3719132
A1,2010-06-28,0.615543720578453,5393096,16616960
A1,2010-07-05,0.698258201404574,4100972,3198744
A1,2010-07-12,0.702250229238196,2494048,10707694
A1,2010-07-19,0.656470778534325,2068814,6768291
A1,2010-07-26,0.659020756586448,4957064,19864585
A1,2010-08-02,0.72122617646453,1526799,8363216
A1,2010-08-09,0.724669556827498,2457987,9454581
A1,2010-08-16,0.621358118895869,2542792,3418591
A1,2010-08-23,0.645448651653785,3612297,6279094
