id,firmbr,city,quarter,share,price
100401880,1004,1,1,0.0124,0.072
100601880,1006,1,1,0.0078,0.114
100701880,1007,1,1,0.013,0.132
100901880,1009,1,1,0.0058,0.13
101101880,1011,1,1,0.0179,0.155
101301880,1013,1,1,0.0266,0.137
101701880,1017,1,1,0.025,0.144
103001880,1030,1,1,0.0051,0.128
104501880,1045,1,1,0.0053,0.15
200501880,2005,1,1,0.0381,0.109
200801880,2008,1,1,0.0083,0.132
201501880,2015,1,1,0.0066,0.112
201601880,2016,1,1,0.0301,0.115
201901880,2019,1,1,0.1,0.111
202601880,2026,1,1,0.0132,0.128
202801880,2028,1,1,0.0236,0.175
204001880,2040,1,1,0.0087,0.134
204801880,2048,1,1,0.0027,0.147
300601880,3006,1,1,0.0189,0.11
301401880,3014,1,1,0.0108,0.137
400201880,4002,1,1,0.0078,0.175
401001880,4010,1,1,7e-4,0.136
401201880,4012,1,1,0.0095,0.135
601801880,6018,1,1,0.0466,0.143
100403880,1004,3,1,0.0026,0.081
100603880,1006,3,1,0.077,0.106
100703880,1007,3,1,0.0264,0.12
100903880,1009,3,1,0.0016,0.102
101103880,1011,3,1,0.004,0.202
101303880,1013,3,1,0.0124,0.146
101703880,1017,3,1,0.0046,0.137
103003880,1030,3,1,0.0062,0.124
104503880,1045,3,1,0.029,0.101
200503880,2005,3,1,0.0243,0.106
200803880,2008,3,1,0.0322,0.124
201503880,2015,3,1,0.0036,0.109
201603880,2016,3,1,0.0428,0.126
201903880,2019,3,1,0.005,0.119
202603880,2026,3,1,0.0227,0.111
202803880,2028,3,1,0.054,0.14
204003880,2040,3,1,0.0011,0.127
204803880,2048,3,1,0.0022,0.142
300603880,3006,3,1,0.0032,0.146
301403880,3014,3,1,0.016,0.18
400203880,4002,3,1,0.0082,0.141
401003880,4010,3,1,0.0064,0.102
401203880,4012,3,1,0.0271,0.082
601803880,6018,3,1,0.0021,0.147
100404880,1004,4,1,0.0016,0.08
100604880,1006,4,1,0.0137,0.136
100704880,1007,4,1,0.0081,0.117
100904880,1009,4,1,0.0232,0.098
101104880,1011,4,1,0.1053,0.143
101304880,1013,4,1,0.1041,0.104
101704880,1017,4,1,0.0278,0.123
103004880,1030,4,1,0.0049,0.118
104504880,1045,4,1,0.0221,0.101
200504880,2005,4,1,0.0086,0.123
200804880,2008,4,1,0.019,0.114
201504880,2015,4,1,0.0041,0.103
201604880,2016,4,1,0.023,0.135
201904880,2019,4,1,0.0072,0.135
202604880,2026,4,1,0.0463,0.121
202804880,2028,4,1,0.0054,0.171
204004880,2040,4,1,0.0103,0.117
204804880,2048,4,1,0.0106,0.129
300604880,3006,4,1,0.0131,0.14
301404880,3014,4,1,0.1467,0.096
400204880,4002,4,1,0.0142,0.147
401004880,4010,4,1,0.0177,0.091
401204880,4012,4,1,0.0247,0.102
601804880,6018,4,1,0.0068,0.154
100405880,1004,5,1,0.0016,0.104
100605880,1006,5,1,0.0349,0.104
100705880,1007,5,1,0.0016,0.14
100905880,1009,5,1,0.0216,0.068
101105880,1011,5,1,0.0309,0.18
101305880,1013,5,1,0.0113,0.149
101705880,1017,5,1,0.0419,0.11
103005880,1030,5,1,0.0057,0.115
104505880,1045,5,1,0.0107,0.139
200505880,2005,5,1,0.0226,0.13
200805880,2008,5,1,0.0686,0.098
201505880,2015,5,1,0.001,0.105
201605880,2016,5,1,0.0132,0.138
