MondayOfWeek,Brand,Qty,Price
6/6/2005,A,60,13.79833333
6/6/2005,B,46,16.24
6/6/2005,C,7,9.232857143
6/13/2005,A,67,12.74373134
6/13/2005,B,30,15.44
6/13/2005,C,9,9.29
6/20/2005,A,35,15.04714286
6/20/2005,B,37,13.26027027
6/20/2005,C,14,7.561428571
6/27/2005,A,33,16.80818182
6/27/2005,B,51,15.34294118
6/27/2005,C,9,8.212222222
7/4/2005,A,29,16.31758621
7/4/2005,B,57,14.94614035
7/4/2005,C,6,7.89
7/11/2005,A,25,18.25
7/11/2005,B,35,14.97571429
7/11/2005,C,12,10.38166667
7/18/2005,A,43,14.22255814
7/18/2005,B,35,17.57571429
7/18/2005,C,8,11.115
7/25/2005,A,51,14.98019608
7/25/2005,B,40,18.74
7/25/2005,C,19,5.792631579
8/1/2005,A,42,15.96619048
8/1/2005,B,51,15.22529412
8/1/2005,C,10,8.03
8/8/2005,A,30,16.97
8/8/2005,B,37,18.21972973
8/8/2005,C,10,8.79
8/15/2005,A,41,15.74609756
8/15/2005,B,48,18.44833333
8/15/2005,C,5,9.89
8/22/2005,A,56,15.31678571
8/22/2005,B,51,21.22529412
8/22/2005,C,5,11.45
8/29/2005,A,41,16.86804878
8/29/2005,B,52,18.14384615
8/29/2005,C,5,8.79
9/5/2005,A,47,17.67085106
9/5/2005,B,64,18.3025
9/5/2005,C,9,9.99
9/12/2005,A,75,15.26333333
9/12/2005,B,45,21.04555556
9/12/2005,C,29,6.205172414
9/19/2005,A,80,16.14625
9/19/2005,B,61,21.00639344
9/19/2005,C,14,5.886428571
9/26/2005,A,52,16.14384615
9/26/2005,B,42,20.40666667
9/26/2005,C,15,5.373333333
10/3/2005,A,51,14.66647059
10/3/2005,B,51,20.86254902
10/3/2005,C,10,8.44
10/10/2005,A,44,15.63772727
10/10/2005,B,50,18.47
10/10/2005,C,11,9.899090909
10/17/2005,A,51,15.44686275
10/17/2005,B,44,18.64909091
10/17/2005,C,11,10.17181818
10/24/2005,A,72,15.44138889
10/24/2005,B,64,16.505625
10/24/2005,C,23,7.859565217
10/31/2005,A,35,19.26142857
10/31/2005,B,59,16.59169492
10/31/2005,C,2,10.74
11/7/2005,A,35,18.37571429
11/7/2005,B,49,16.89816327
11/7/2005,C,7,9.347142857
11/14/2005,A,49,19.33693878
11/14/2005,B,53,17.35792453
11/14/2005,C,12,10.24
11/21/2005,A,45,16.90111111
11/21/2005,B,52,16.40346154
11/21/2005,C,12,8.49
11/28/2005,A,62,16.88322581
11/28/2005,B,47,18.24531915
11/28/2005,C,12,11.99
12/5/2005,A,61,16.36262295
12/5/2005,B,43,21.57139535
12/5/2005,C,5,10.59
12/12/2005,A,69,15.7357971
12/12/2005,B,49,17.83693878
12/12/2005,C,13,11.72076923
12/19/2005,A,56,14.78464286
12/19/2005,B,51,16.86254902
12/19/2005,C,4,10.24
12/26/2005,A,66,16.61121212
12/26/2005,B,50,17.49
12/26/2005,C,13,8.49
1/2/2006,A,63,17.13285714
1/2/2006,B,67,18.07208955
1/2/2006,C,7,10.06142857
1/9/2006,A,63,14.17253968
1/9/2006,B,72,16.99694444
1/9/2006,C,15,7.562
1/16/2006,A,66,16.39166667
1/16/2006,B,39,19.72076923
1/16/2006,C,11,7.222727273
1/23/2006,A,46,15.59869565
1/23/2006,B,30,21.20666667
1/23/2006,C,6,10.82333333
1/30/2006,A,69,15.03405797
1/30/2006,B,51,21.31352941
1/30/2006,C,5,9.19
2/6/2006,A,60,14.777
2/6/2006,B,54,22.00851852
2/6/2006,C,2,14.24
2/13/2006,A,49,17.01857143
2/13/2006,B,49,18.55122449
2/13/2006,C,4,10.24
2/20/2006,A,59,18.6679661
2/20/2006,B,51,19.2645098
2/20/2006,C,11,7.899090909
2/27/2006,A,50,17.73
2/27/2006,B,59,19.72728814
2/27/2006,C,4,9.365
3/6/2006,A,66,15.49
3/6/2006,B,47,22.80914894
3/6/2006,C,5,12.89
3/13/2006,A,44,16.09272727
3/13/2006,B,46,18.58782609
3/13/2006,C,4,12.115
3/20/2006,A,40,18.9275
3/20/2006,B,45,17.83444444
3/20/2006,C,7,10.06142857
3/27/2006,A,65,15.51307692
3/27/2006,B,55,20.14454545
3/27/2006,C,10,10.99
4/3/2006,A,50,17.27
4/3/2006,B,35,21.94714286
4/3/2006,C,8,11.24
4/10/2006,A,42,13.87095238
4/10/2006,B,39,21.23358974
4/10/2006,C,6,8.573333333
4/17/2006,A,56,18.28464286
4/17/2006,B,58,19.23137931
4/17/2006,C,4,9.365
4/24/2006,A,41,19.36829268
4/24/2006,B,50,17.82
4/24/2006,C,13,8.99
5/1/2006,A,55,17.06454545
5/1/2006,B,50,19.83
5/1/2006,C,5,8.49
5/8/2006,A,64,16.1696875
5/8/2006,B,28,23.99
5/8/2006,C,4,7.74
5/15/2006,A,66,15.51575758
5/15/2006,B,45,21.35666667
5/15/2006,C,19,8.726842105
5/22/2006,A,49,15.47571429
5/22/2006,B,50,21.46
5/22/2006,C,18,9.434444444
5/29/2006,A,59,15.6859322
5/29/2006,B,45,19.02333333
5/29/2006,C,5,8.79
6/5/2006,A,63,14.91142857
6/5/2006,B,44,17.19454545
6/5/2006,C,12,9.49
6/12/2006,A,50,16.1
6/12/2006,B,42,19.43047619
6/12/2006,C,5,12.79
6/19/2006,A,65,15.71215385
6/19/2006,B,38,20.85842105
6/19/2006,C,7,12.56142857
6/26/2006,A,48,16.64395833
6/26/2006,B,40,20.44
6/26/2006,C,9,7.656666667
7/3/2006,A,35,19.21857143
7/3/2006,B,70,16.59
7/3/2006,C,7,7.847142857
7/10/2006,A,46,20.28347826
7/10/2006,B,58,17.96413793
7/10/2006,C,17,7.519411765
7/17/2006,A,53,15.53716981
7/17/2006,B,38,21.22684211
7/17/2006,C,16,8.5525
7/24/2006,A,47,16.14957447
7/24/2006,B,35,20.26142857
7/24/2006,C,13,8.374615385
7/31/2006,A,48,17.06291667
7/31/2006,B,43,16.99
7/31/2006,C,11,7.808181818
8/7/2006,A,31,18.31258065
8/7/2006,B,45,16.02333333
8/7/2006,C,2,8.49
8/14/2006,A,65,16.59015385
8/14/2006,B,35,19.77571429
8/14/2006,C,13,8.682307692
8/21/2006,A,53,13.89566038
8/21/2006,B,41,22.56317073
8/21/2006,C,12,10.15666667
8/28/2006,A,48,17.97958333
8/28/2006,B,54,17.7862963
8/28/2006,C,11,11.08090909
9/4/2006,A,41,18.80707317
9/4/2006,B,49,19.18387755
9/4/2006,C,9,9.434444444
9/11/2006,A,53,16.34886792
9/11/2006,B,51,21.88215686
