MondayOfWeek,Brand,Qty,Price
2005-06-06,A,60,13.7983333333333
2005-06-06,B,46,16.24
2005-06-06,C,7,9.23285714285714
2005-06-13,A,67,12.7437313432836
2005-06-13,B,30,15.44
2005-06-13,C,9,9.29
2005-06-20,A,35,15.0471428571429
2005-06-20,B,37,13.2602702702703
2005-06-20,C,14,7.56142857142857
2005-06-27,A,33,16.8081818181818
2005-06-27,B,51,15.3429411764706
2005-06-27,C,9,8.21222222222222
2005-07-04,A,29,16.3175862068966
2005-07-04,B,57,14.9461403508772
2005-07-04,C,6,7.89
2005-07-11,A,25,18.25
2005-07-11,B,35,14.9757142857143
2005-07-11,C,12,10.3816666666667
2005-07-18,A,43,14.2225581395349
2005-07-18,B,35,17.5757142857143
2005-07-18,C,8,11.115
2005-07-25,A,51,14.9801960784314
2005-07-25,B,40,18.74
2005-07-25,C,19,5.79263157894737
2005-08-01,A,42,15.9661904761905
2005-08-01,B,51,15.2252941176471
2005-08-01,C,10,8.03
2005-08-08,A,30,16.97
2005-08-08,B,37,18.2197297297297
2005-08-08,C,10,8.79
2005-08-15,A,41,15.7460975609756
2005-08-15,B,48,18.4483333333333
2005-08-15,C,5,9.89
2005-08-22,A,56,15.3167857142857
2005-08-22,B,51,21.2252941176471
2005-08-22,C,5,11.45
2005-08-29,A,41,16.8680487804878
2005-08-29,B,52,18.1438461538462
2005-08-29,C,5,8.79
2005-09-05,A,47,17.6708510638298
2005-09-05,B,64,18.3025
2005-09-05,C,9,9.99
2005-09-12,A,75,15.2633333333333
2005-09-12,B,45,21.0455555555556
2005-09-12,C,29,6.2051724137931
2005-09-19,A,80,16.14625
2005-09-19,B,61,21.0063934426229
2005-09-19,C,14,5.88642857142857
2005-09-26,A,52,16.1438461538462
2005-09-26,B,42,20.4066666666667
2005-09-26,C,15,5.37333333333333
2005-10-03,A,51,14.6664705882353
2005-10-03,B,51,20.8625490196078
2005-10-03,C,10,8.44
2005-10-10,A,44,15.6377272727273
2005-10-10,B,50,18.47
2005-10-10,C,11,9.89909090909091
2005-10-17,A,51,15.446862745098
2005-10-17,B,44,18.6490909090909
2005-10-17,C,11,10.1718181818182
2005-10-24,A,72,15.4413888888889
2005-10-24,B,64,16.505625
2005-10-24,C,23,7.8595652173913
2005-10-31,A,35,19.2614285714286
2005-10-31,B,59,16.5916949152542
2005-10-31,C,2,10.74
2005-11-07,A,35,18.3757142857143
2005-11-07,B,49,16.8981632653061
2005-11-07,C,7,9.34714285714286
2005-11-14,A,49,19.3369387755102
2005-11-14,B,53,17.3579245283019
2005-11-14,C,12,10.24
2005-11-21,A,45,16.9011111111111
2005-11-21,B,52,16.4034615384615
2005-11-21,C,12,8.49
2005-11-28,A,62,16.8832258064516
