WeekEndingDay,StarKist,BumbleBee,Others
20130105,1366809.967,1342248.5,2357168.866
20130112,1799085.683,1448497.333,2945030.334
20130119,1759367.583,1332087.167,2521745.269
20130126,1889790.3,1199387.5,2285004.618
20130202,1791112.433,1250123.333,2293704.685
20130209,1737192.683,1430107,2453209.496
20130216,1999842.577,1631812.417,2883025.493
20130223,1921139.193,1493178,3053716.031
20130302,1886943.633,1564529.083,2427643.159
20130309,1934796.867,1564827.083,3252711.373
20130316,1799713.933,1355458.5,2641620.871
20130323,1759652.4,1817624.833,2414382.833
20130330,1560372.05,1599610.917,2286734.017
20130406,1507449.617,1386408.083,2131848.754
20130413,1804328.583,1441278.917,2446361.38
20130420,1671748.083,1469002.75,2112753.435
20130427,1692176.617,1555704.167,2086594.275
20130504,1623239.85,1566997.583,2347138.209
20130511,1541848.833,1823982.917,2598161.826
20130518,1593712.067,1674356.167,2122397.384
20130525,1568559.733,1549754.5,2173258.161
20130601,1560230.583,1320020.5,2057225.424
20130608,2146543.817,1690123.5,2787348.89
20130615,1724513.933,1497206.167,2511763.889
20130622,2189512.55,1464247.083,2226851.936
20130629,1887213.117,1737768.167,2255196.381
20130706,1511119,1749370.167,2383347.104
20130713,1506394.2,1805886.917,2871167.875
20130720,1678390.8,1682805.917,2445328.15
20130727,1521600.95,1767622.167,2418918.019
20130803,1459642.233,1522245.083,2467144.59
20130810,1645478.833,1602434,2817151.439
20130817,1652878,1457020.083,2778609.711
20130824,1632917.3,1506021.75,2305489.905
20130831,1678397.817,1494140.083,2219043.381
20130907,1734911.867,1663573.333,2464847.451
20130914,1689183.533,1930620.583,2389157.491
20130921,1498886.633,1569280.75,2182165.338
20130928,1478317.983,1350238.5,2004413.224
20131005,1636541.583,1674475.417,2255616.866
20131012,2189238.617,1451672.083,2235297.066
20131019,1647013.533,1352837.25,2389604.488
20131026,1409918.55,1356207.167,2026681.903
20131102,1461894.683,1223891.417,2017736.581
20131109,1592938.417,1498377.583,2229428.966
20131116,1392417.367,1425714.667,2130283.011
20131123,1329566.4,1462829.417,2005486.798
20131130,965333.4667,1039877.667,1468472.764
20131207,1268042.1,1362113.333,2138551.59
20131214,1333206.917,1443306.333,2019835.665
20131221,1244867.467,1134173,1797236.847
20131228,942553.4833,883530.4167,1320473.959
20140104,1643154.783,1418612.167,1894783.81
20140111,2307645.467,1487596.083,2766968.557
20140118,2169352.4,1424080,2418383.434
20140125,2019161.7,1302357.25,2213596.975
20140201,1857939.667,1296300.75,2312321.91
20140208,1845927.267,1383222.083,2323776.585
20140215,1720359.783,1581212.417,2661868.121
20140222,1691338.267,1269488.167,2220874.281
20140301,1980870.75,1598215.583,2305243.564
20140308,2074008.75,2873092.833,3081268.584
20140315,2180921.267,2788736.417,3144787.746
20140322,2036438.05,2026259.667,2483752.359
20140329,1803177.383,1794505.917,2484344.175
20140405,2220563.333,1421654.333,2803148.357
20140412,2057367.743,1523609.583,2670712.78
20140419,2035695.95,1758096.333,2578390.682
20140426,1394407.033,1193454.417,1964385.175
20140503,1628605.2,1469599.583,2170073.457
20140510,1896274.433,1625934.25,2331136.589
