WeekEndingDay,StarKist,BumbleBee,Others
20130105,1.925402071,1.789275876,1.3264176
20130112,1.885002261,1.818093551,1.276606274
20130119,1.877172537,1.832192616,1.302912991
20130126,1.852071714,1.850911211,1.316588722
20130202,1.924779598,1.830069273,1.306186546
20130209,1.90375339,1.779628468,1.312646953
20130216,1.757844333,1.708668234,1.211301904
20130223,1.825008033,1.770479936,1.202004103
20130302,1.842667735,1.710819184,1.296266063
20130309,1.844571454,1.737995916,1.211984802
20130316,1.802451123,1.721847611,1.293388589
20130323,1.842170721,1.556292519,1.286051793
20130330,1.921814627,1.681244934,1.275579245
20130406,1.892711636,1.714271194,1.300064076
20130413,1.881272109,1.765762879,1.297442915
20130420,1.935417317,1.74273055,1.350315575
20130427,1.894468673,1.674767386,1.343481722
20130504,1.93690344,1.702784362,1.338239192
20130511,1.950772647,1.637781973,1.309028297
20130518,1.880251171,1.637857121,1.353902145
20130525,1.921265175,1.70632959,1.362970158
20130601,1.863360391,1.776240452,1.36310131
20130608,1.737294474,1.722299441,1.274019848
20130615,1.874046169,1.747029339,1.305355187
20130622,1.61156393,1.74869004,1.344546578
20130629,1.740389594,1.702187914,1.366891693
20130706,1.915325974,1.709387348,1.344813676
20130713,1.949474387,1.681095456,1.301154451
20130720,1.889555073,1.719417742,1.334236356
20130727,1.918604921,1.671851007,1.314549594
20130803,1.976678767,1.729764175,1.320763827
20130810,1.911013218,1.729449088,1.307968727
20130817,1.879936003,1.726532886,1.299617707
20130824,1.891798048,1.774341347,1.340704699
20130831,1.856461525,1.744052816,1.35720362
20130907,1.835784486,1.665571324,1.347913571
20130914,1.844540074,1.577729334,1.344837853
20130921,1.906151397,1.679954094,1.341201406
20130928,1.870226975,1.789954819,1.336221174
20131005,1.851498618,1.677233743,1.324899372
20131012,1.593116458,1.725100702,1.330954277
20131019,1.770729354,1.74255751,1.324641654
20131026,1.873274715,1.731927435,1.363750802
20131102,1.837841857,1.7513817,1.355917376
20131109,1.860870357,1.680596772,1.34731296
20131116,1.890708909,1.693155395,1.356220274
20131123,1.905440458,1.693615005,1.366615613
20131130,1.914234256,1.74635392,1.372112748
20131207,1.930066707,1.72404701,1.327958621
