Member_number,itemDescription,Date
1808,tropical fruit,21-07-2015
2552,whole milk,5/1/2015
2300,pip fruit,19-09-2015
1187,other vegetables,12/12/2015
3037,whole milk,1/2/2015
4941,rolls/buns,14-02-2015
4501,other vegetables,8/5/2015
3803,pot plants,23-12-2015
2762,whole milk,20-03-2015
4119,tropical fruit,12/2/2015
1340,citrus fruit,24-02-2015
2193,beef,14-04-2015
1997,frankfurter,21-07-2015
4546,chicken,3/9/2015
4736,butter,21-07-2015
1959,fruit/vegetable juice,30-03-2015
1974,packaged fruit/vegetables,3/5/2015
2421,chocolate,2/9/2015
1513,specialty bar,3/8/2015
1905,other vegetables,7/7/2015
2810,butter milk,8/9/2015
2867,whole milk,12/11/2015
3962,tropical fruit,18-09-2015
1088,tropical fruit,30-11-2015
4976,bottled water,17-07-2015
4056,yogurt,12/6/2015
3611,sausage,13-02-2015
1420,other vegetables,14-01-2015
4286,brown bread,8/3/2015
4918,yogurt,27-01-2015
4783,hamburger meat,22-10-2015
3709,root vegetables,26-10-2015
4289,pork,8/10/2015
1559,beef,3/10/2015
2900,pastry,11/4/2015
1905,fruit/vegetable juice,21-02-2015
3527,canned beer,29-09-2015
1495,root vegetables,9/1/2015
3558,citrus fruit,3/4/2015
3128,sausage,20-04-2015
1863,tropical fruit,4/8/2015
3841,berries,19-07-2015
3903,canned beer,6/10/2015
2658,butter milk,16-10-2015
4272,coffee,6/6/2015
1120,pastry,26-09-2015
2676,rolls/buns,15-08-2015
1697,misc. beverages,21-05-2015
2507,root vegetables,25-08-2015
4620,sausage,11/3/2015
3365,canned beer,1/2/2015
2978,ham,5/6/2015
2910,turkey,28-07-2015
1061,whole milk,5/9/2015
3276,whole milk,3/4/2015
1326,packaged fruit/vegetables,19-06-2015
3023,rolls/buns,28-07-2015
2185,ham,11/10/2015
3552,rolls/buns,16-06-2015
1967,other vegetables,20-01-2015
4708,sausage,20-03-2015
2874,sausage,15-02-2015
4177,frankfurter,13-04-2015
1663,rolls/buns,7/2/2015
2632,whole milk,2/3/2015
1377,curd cheese,14-03-2015
4162,red/blush wine,22-12-2015
2270,sausage,1/7/2015
4829,tropical fruit,3/11/2015
3811,red/blush wine,14-04-2015
4766,whole milk,29-09-2015
2436,frankfurter,12/4/2015
3860,whole milk,5/5/2015
4875,frozen potato products,12/5/2015
1587,other vegetables,1/7/2015
4038,citrus fruit,8/7/2015
4750,flour,21-09-2015
1199,sugar,10/12/2015
1603,frozen meals,30-09-2015
3111,chocolate,31-01-2015
3894,root vegetables,13-12-2015
1456,root vegetables,18-09-2015
2022,herbs,4/3/2015
2505,bottled water,30-11-2015
4851,sausage,20-12-2015
4293,coffee,4/8/2015
2775,pork,6/11/2015
3693,berries,18-02-2015
1202,soda,22-07-2015
3699,berries,23-08-2015
4152,fruit/vegetable juice,15-04-2015
4155,citrus fruit,26-01-2015
4010,pork,29-12-2015
4389,detergent,20-10-2015
3746,grapes,17-08-2015
2560,sausage,17-05-2015
1503,chicken,25-07-2015
2555,whole milk,23-12-2015
3645,citrus fruit,12/12/2015
3886,soda,11/9/2015
2932,sausage,20-03-2015
1711,frankfurter,18-06-2015
4291,sausage,8/12/2015
1143,soda,25-04-2015
4564,rolls/buns,8/7/2015
3337,beef,14-05-2015
4931,whole milk,4/5/2015
2623,processed cheese,10/10/2015
4581,tropical fruit,3/4/2015
2635,frankfurter,11/6/2015
1095,packaged fruit/vegetables,30-10-2015
2990,whole milk,23-05-2015
2426,berries,5/6/2015
4555,citrus fruit,7/11/2015
3635,tropical fruit,4/9/2015
3058,hamburger meat,18-05-2015
4391,hamburger meat,26-03-2015
1306,whole milk,23-06-2015
1024,fish,10/8/2015
1295,frankfurter,23-07-2015
1661,packaged fruit/vegetables,1/6/2015
4591,pastry,15-05-2015
3169,other vegetables,14-06-2015
3915,misc. beverages,21-05-2015
1127,frankfurter,14-01-2015
4828,sparkling wine,8/8/2015
3683,specialty bar,10/6/2015
1971,sausage,18-09-2015
3014,curd cheese,11/11/2015
3779,frankfurter,15-09-2015
2489,whole milk,4/5/2015
3564,newspapers,27-06-2015
4092,berries,30-09-2015
3221,curd,13-01-2015
1279,tropical fruit,6/9/2015
2581,soda,22-08-2015
2295,rolls/buns,25-02-2015
4760,canned beer,22-02-2015
3649,canned beer,16-01-2015
1075,frankfurter,19-11-2015
3987,other vegetables,19-08-2015
4106,whole milk,25-08-2015
4338,whole milk,24-06-2015
4166,citrus fruit,6/11/2015
1211,frankfurter,10/3/2015
3954,frankfurter,21-01-2015
3928,butter milk,18-07-2015
3827,hamburger meat,30-09-2015
4699,pasta,8/2/2015
4747,other vegetables,8/6/2015
3028,sausage,9/6/2015
2851,rolls/buns,16-03-2015
4417,grapes,25-02-2015
3822,root vegetables,7/3/2015
2288,coffee,31-05-2015
2184,popcorn,30-06-2015
4554,whole milk,27-08-2015
3361,tropical fruit,5/3/2015
2999,beef,17-04-2015
2614,whole milk,25-06-2015
4064,frankfurter,5/6/2015
3567,tropical fruit,4/10/2015
2587,canned beer,7/5/2015
3783,finished products,17-06-2015
1923,beverages,14-02-2015
4835,hamburger meat,19-02-2015
1514,whole milk,24-08-2015
3154,finished products,22-06-2015
1313,other vegetables,25-12-2015
2794,ham,18-07-2015
2359,other vegetables,9/4/2015
2238,curd,9/3/2015
3795,bottled beer,17-01-2015
3724,curd,26-11-2015
1152,whole milk,5/3/2015
4559,whole milk,16-03-2015
3922,dessert,27-02-2015
1709,sausage,22-04-2015
2219,other vegetables,17-04-2015
2206,ham,17-10-2015
1752,other vegetables,6/4/2015
3942,other vegetables,10/11/2015
3296,soda,17-08-2015
2257,herbs,5/2/2015
4313,frankfurter,28-07-2015
2001,rolls/buns,21-08-2015
2449,curd,8/7/2015
4914,frankfurter,12/4/2015
2764,other vegetables,24-07-2015
4187,dog food,9/5/2015
1392,specialty bar,20-04-2015
3427,curd,28-04-2015
1411,frankfurter,20-02-2015
3390,soda,14-11-2015
4787,beef,1/8/2015
3310,canned beer,17-01-2015
1782,pork,10/10/2015
3375,frankfurter,26-04-2015
2760,sausage,7/1/2015
4249,canned beer,13-09-2015
2904,specialty chocolate,6/6/2015
4090,curd,26-02-2015
3060,canned beer,5/7/2015
3768,whole milk,7/10/2015
1232,rolls/buns,21-01-2015
1360,pork,23-10-2015
1107,citrus fruit,1/10/2015
2865,pot plants,4/11/2015
2958,rolls/buns,14-06-2015
2448,butter,12/7/2015
1222,condensed milk,24-09-2015
2943,sausage,20-06-2015
2270,whole milk,11/8/2015
3812,sausage,21-07-2015
1482,beverages,22-11-2015
4720,beverages,22-02-2015
1344,bottled water,4/9/2015
2397,newspapers,4/10/2015
4182,cleaner,12/5/2015
4487,sausage,10/7/2015
3467,newspapers,24-12-2015
2443,sausage,15-11-2015
2749,misc. beverages,27-01-2015
4389,white wine,13-04-2015
1674,sausage,4/12/2015
4262,meat,16-10-2015
2082,frankfurter,7/4/2015
4494,ice cream,6/1/2015
2460,canned beer,28-09-2015
4509,tropical fruit,29-11-2015
2267,meat,3/7/2015
4891,whole milk,5/9/2015
3962,sausage,20-09-2015
4964,frankfurter,18-07-2015
2914,meat,30-11-2015
2808,root vegetables,5/5/2015
1085,root vegetables,15-08-2015
3808,whole milk,18-08-2015
4149,citrus fruit,7/1/2015
2331,citrus fruit,5/6/2015
4475,other vegetables,3/4/2015
2761,citrus fruit,25-04-2015
2620,sausage,14-12-2015
3206,frankfurter,13-10-2015
1226,hard cheese,13-04-2015
1395,cream cheese ,7/3/2015
2465,turkey,7/6/2015
3572,pork,9/7/2015
4387,whole milk,8/5/2015
1555,rolls/buns,27-03-2015
1181,sausage,16-11-2015
2814,ice cream,11/5/2015
2794,liquor,16-09-2015
2912,pip fruit,28-01-2015
4667,root vegetables,12/1/2015
2235,soda,25-10-2015
2353,soda,2/5/2015
3449,sausage,8/3/2015
1058,root vegetables,10/11/2015
1027,pork,17-05-2015
3302,pork,22-05-2015
2229,chocolate,30-05-2015
2188,fruit/vegetable juice,15-08-2015
1547,pickled vegetables,18-04-2015
1649,bottled water,30-06-2015
3254,frankfurter,10/9/2015
2818,tropical fruit,7/11/2015
2703,canned beer,8/5/2015
3332,root vegetables,31-01-2015
2473,meat,1/7/2015
2810,frankfurter,30-12-2015
1033,tropical fruit,22-04-2015
4222,tropical fruit,27-05-2015
3679,citrus fruit,21-09-2015
2212,hamburger meat,27-08-2015
1507,chicken,22-06-2015
2870,chicken,21-01-2015
3429,frankfurter,26-04-2015
4148,canned beer,9/4/2015
2970,turkey,30-12-2015
2013,packaged fruit/vegetables,30-08-2015
