Month,OilOpen,OilHigh,OilLow,OilClose,OilAdjClose,OilVolume,GoldOpen,GoldHigh,GoldLow,GoldClose,GoldAdjClose,GoldVolume
1/1/07,37.57,37.57,31.39,35.65,35.65,7207700,23.64,24,20.72,23.51,22.15,7978900
2/1/07,35.61,37.85,34.76,37.62,37.62,4212900,23.83,24.75,22.3,22.9,21.57,8440500
3/1/07,37.4,39.6,34.94,39,39,3537400,22.49,24.38,21.11,23.91,22.62,8285600
3/31/07,39.12,39.6,35.97,37.5,37.5,3125800,23.9,26.3,23.77,23.95,22.66,6591800
4/30/07,37.4,37.79,34.7,35.79,35.79,3275900,23.95,25.5,22.55,23.44,22.18,7504300
5/31/07,35.89,39.25,35.76,38.98,38.98,2176200,23.68,24.3,20.9,22.19,21,7115700
6/30/07,38.74,43.25,38.56,43,43,1173200,22.22,24.45,21.85,22.9,21.67,8401900
7/31/07,42.9,43.57,38.17,41.13,41.13,1562400,22.6,25.23,20.83,23.95,22.66,12579700
8/31/07,41.21,47.4,41,46.32,46.32,1019700,24.43,34.13,24.38,33.24,31.45,13819600
9/30/07,46,54.45,44.47,54.28,54.28,2322000,33.31,38.05,30.5,35.94,34,15304200
10/31/07,54.04,57.66,51.37,51.53,51.53,2365100,36.06,39.9,34.1,35.18,33.29,20390000
12/1/07,51.08,57,50.48,56.15,56.15,1577300,35,37.66,32.25,37.13,35.13,9738100
1/1/08,57.1,58.33,50.62,53.68,53.68,1660100,37.39,50.74,36.32,47.71,45.14,19476200
2/1/08,53.31,60.4,50.7,59.71,59.71,2438700,50.94,53.13,42.54,51.64,48.86,15790700
3/1/08,60.7,65.19,58.07,60.43,60.43,4275300,52.71,56.15,42.82,46.34,43.96,16785500
3/31/08,59.36,71.45,59.18,68.72,68.72,3517500,44.62,55.96,42.97,45.52,43.18,14174200
4/30/08,67.4,80.3,66.02,76.37,76.37,12358100,44.34,48.6,41.37,42.4,40.22,12275100
5/31/08,76.56,85.6,72.98,84.16,84.16,18213500,41.71,46.88,37.2,46.18,43.81,16249200
6/30/08,85.72,88.15,71.75,73.85,73.85,28656300,45.1,56.28,43.84,51.18,48.55,19870000
7/31/08,73.54,76.56,66.32,68.83,68.83,17378000,50.07,50.89,40.22,43.89,41.63,20570000
8/31/08,64.12,65.76,53.7,60.37,60.37,17866700,39.82,46.83,31.08,41.03,38.92,31235000
9/30/08,58.89,59.96,36.45,40.26,40.26,12744800,40.98,42.35,22.28,31.01,29.42,28535900
10/31/08,39.14,42.48,27.96,30.17,30.17,6174800,31.16,38.23,25.05,38.23,36.27,20446000
12/1/08,30.4,30.4,19.38,23.27,23.27,27864100,35.3,46.49,31.7,43.92,41.66,23305700
1/1/09,23.93,27.47,18.9,19.48,19.48,65848900,43.98,46.49,36.24,44.46,42.17,24194900
2/1/09,18.91,19.9,14.55,17.48,17.48,80138100,43.36,50.89,42.37,45.48,43.14,21022800
