Date,UnitsBrandA,UnitsBrandB,ShareBrandA,ShareBrandB
1/28/11,21942,8486,0.24,0.09
2/4/11,17863,8194,0.23,0.09
2/11/11,18122,8137,0.23,0.11
2/18/11,13725,8221,0.2,0.11
2/25/11,11299,8017,0.17,0.12
3/4/11,10719,7847,0.15,0.13
3/11/11,12965,7792,0.19,0.12
3/18/11,10377,7700,0.17,0.12
3/25/11,9830,7737,0.16,0.12
4/1/11,8231,7755,0.13,0.12
4/8/11,7210,7733,0.12,0.13
4/15/11,7721,7754,0.15,0.13
4/22/11,8886,7788,0.15,0.13
4/29/11,9937,7816,0.14,0.12
5/6/11,9720,7771,0.16,0.12
5/13/11,11302,7678,0.16,0.12
5/20/11,10766,7615,0.17,0.12
5/27/11,8735,7693,0.15,0.13
6/3/11,8226,7541,0.14,0.13
6/10/11,8742,7562,0.16,0.13
6/17/11,9115,7512,0.16,0.12
6/24/11,11396,7442,0.18,0.12
7/1/11,11509,7326,0.18,0.12
7/8/11,10226,7383,0.17,0.12
7/15/11,7930,7334,0.15,0.12
7/22/11,8577,7189,0.15,0.12
7/29/11,7638,7199,0.15,0.13
8/5/11,6514,7064,0.13,0.13
8/12/11,6267,7087,0.12,0.13
8/19/11,6880,7208,0.13,0.13
8/26/11,7332,7429,0.13,0.13
9/2/11,10997,7736,0.15,0.13
9/9/11,12081,7711,0.18,0.12
9/16/11,13979,7745,0.2,0.11
9/23/11,12104,7981,0.18,0.12
9/30/11,13574,8159,0.2,0.12
10/7/11,16821,8253,0.22,0.11
10/14/11,17072,8250,0.24,0.11
10/21/11,18432,8340,0.23,0.11
10/28/11,17949,8568,0.27,0.09
11/4/11,22456,8575,0.26,0.1
11/11/11,32576,8496,0.26,0.09
11/18/11,38665,8414,0.35,0.08
11/25/11,42173,8528,0.36,0.07
12/2/11,42654,8457,0.35,0.08
12/9/11,34817,8484,0.35,0.08
12/16/11,30698,8741,0.34,0.08
12/23/11,29436,8933,0.33,0.08
12/30/11,32825,8901,0.32,0.09
1/6/12,26684,8643,0.32,0.1
1/13/12,24072,8548,0.28,0.09
1/20/12,19447,8447,0.19,0.1
1/27/12,15411,8088,0.21,0.11
2/3/12,16419,7958,0.21,0.11
2/10/12,12166,7977,0.18,0.12
2/17/12,10583,8001,0.16,0.12
2/24/12,10637,8152,0.16,0.12
3/2/12,9779,7774,0.14,0.13
3/9/12,8758,7719,0.14,0.13
3/16/12,8652,7938,0.15,0.12
3/23/12,9166,7775,0.15,0.13
3/30/12,10293,7579,0.17,0.12
4/6/12,11157,7436,0.18,0.12
4/13/12,10072,7484,0.17,0.12
4/20/12,9035,7487,0.15,0.12
4/27/12,9129,7205,0.16,0.12
5/4/12,9052,7403,0.15,0.12
5/11/12,10692,7308,0.17,0.12
5/18/12,10993,7241,0.16,0.12
5/25/12,9389,7284,0.16,0.12
6/1/12,10550,7077,0.18,0.11
6/8/12,14117,7034,0.21,0.11
6/15/12,10072,6957,0.19,0.11
6/22/12,10195,6919,0.17,0.12
6/29/12,9142,6942,0.19,0.12
7/6/12,8027,6954,0.2,0.11
7/13/12,9048,7138,0.15,0.12
