week,logmove,price1,price2,price3,price4,price5,price6,price7,price8,price9,price10,price11,deal,feat,profit
1989-10-14,8.929567708,0.0571875,0.0603125,0.04203125,0.02328125,0.04671875,0.050104167,0.03890625,0.03875,0.02890625,0.02484375,0.037421875,1,0,34.44101695
1989-10-21,8.392989588,0.0571875,0.0603125,0.04203125,0.044375,0.03109375,0.048854167,0.03890625,0.0371875,0.04546875,0.03890625,0.037421875,0,0,34.43521739
1989-10-28,8.647519453,0.0571875,0.0603125,0.04921875,0.02953125,0.04671875,0.050104167,0.04328125,0.03875,0.04546875,0.03890625,0.035078125,0,0,34.2611236
1989-11-04,8.30201781,0.0571875,0.0603125,0.04921875,0.044375,0.04671875,0.050104167,0.03109375,0.03875,0.04546875,0.03890625,0.035078125,0,0,34.20920635
1989-11-11,7.98752448,0.0571875,0.0603125,0.04921875,0.044375,0.04046875,0.050104167,0.04328125,0.03875,0.04296875,0.03890625,0.037421875,0,0,31.71869565
1989-11-18,8.166216269,0.0571875,0.0603125,0.04921875,0.03734375,0.04671875,0.0478125,0.04328125,0.03875,0.04296875,0.03890625,0.037421875,0,0,26.51727273
1989-11-25,8.070906089,0.0571875,0.0603125,0.04515625,0.044375,0.04671875,0.0478125,0.04328125,0.02796875,0.04296875,0.03890625,0.037421875,0,0,26.1004
1989-12-02,8.589699882,0.0571875,0.0603125,0.04515625,0.044375,0.03734375,0.050104167,0.04328125,0.03875,0.04546875,0.03265625,0.037421875,0,0,25.98
1989-12-09,8.449342525,0.0571875,0.0603125,0.04921875,0.03734375,0.04671875,0.050104167,0.04328125,0.03875,0.04234375,0.03265625,0.037421875,0,0,25.93
1989-12-16,8.184234774,0.0571875,0.0603125,0.04921875,0.03734375,0.03109375,0.045729167,0.04515625,0.03875,0.04234375,0.03265625,0.037421875,0,0,25.9
1989-12-23,8.636219898,0.0571875,0.0603125,0.04359375,0.03109375,0.04671875,0.050104167,0.04424649,0.03875,0.04234375,0.03265625,0.03703125,0,0,25.9
1989-12-30,7.847762538,0.0571875,0.0603125,0.04359375,0.044375,0.04671875,0.050104167,0.044463687,0.03578125,0.04234375,0.02953125,0.03703125,0,0,25.9
1990-01-06,8.61323038,0.05140625,0.0603125,0.04359375,0.044375,0.04671875,0.050104167,0.04515625,0.03578125,0.03109375,0.02953125,0.037421875,1,0,27.20081395
1990-01-13,8.60153434,0.05140625,0.0603125,0.04921875,0.044375,0.03421875,0.050104167,0.04515625,0.03578125,0.03109375,0.02953125,0.037421875,1,0,27.14176471
1990-01-20,8.702177866,0.05140625,0.0603125,0.04921875,0.03734375,0.04671875,0.050104167,0.04515625,0.0371875,0.04546875,0.02796875,0.035078125,1,0,27.09308511
1990-01-27,8.317766167,0.0571875,0.0603125,0.04921875,0.03734375,0.04671875,0.046770833,0.04515625,0.0371875,0.04546875,0.02796875,0.035078125,0,0,34.44875
1990-02-03,8.624791202,0.05140625,0.059733191,0.04921875,0.044375,0.04671875,0.046770833,0.03109375,0.03875,0.04546875,0.02796875,0.035078125,1,1,27.06034483
1990-02-10,8.236420527,0.05140625,0.059585039,0.0484375,0.044375,0.03109375,0.050104167,0.03109375,0.03875,0.04234375,0.03890625,0.037421875,1,0,27.05966102
1990-02-17,8.009030685,0.05484375,0.0478125,0.04671875,0.044375,0.043463862,0.050104167,0.04515625,0.04,0.03109375,0.019375,0.037421875,1,0,28.82787234
1990-02-24,8.476371197,0.05484375,0.0571875,0.04671875,0.03109375,0.04671875,0.050104167,0.04515625,0.0384375,0.03109375,0.02484375,0.037421875,1,0,30.27933333
1990-03-03,8.30201781,0.05484375,0.0571875,0.04671875,0.044375,0.03109375,0.046770833,0.04515625,0.0384375,0.03109375,0.02484375,0.037421875,0,0,30.34920635
1990-03-10,8.528330936,0.05484375,0.0571875,0.04671875,0.03109375,0.04671875,0.046770833,0.04515625,0.04,0.04546875,0.02015625,0.036640625,1,0,30.41
1990-03-17,8.636219898,0.0571875,0.0571875,0.04671875,0.044375,0.03109375,0.050104167,0.04515625,0.04,0.04359375,0.01546875,0.036640625,0,0,30.065
1990-03-24,8.658692754,0.04671875,0.0571875,0.04671875,0.03578125,0.03109375,0.0446875,0.0384375,0.04,0.04359375,0.02484375,0.036640625,1,0,19.73
1990-03-31,8.987196821,0.04671875,0.053020833,0.04671875,0.03578125,0.04671875,0.0446875,0.0384375,0.03109375,0.04359375,0.03890625,0.036640625,1,0,22.47
1990-04-07,8.348537825,0.05296875,0.053020833,0.04203125,0.0384375,0.03109375,0.048854167,0.03734375,0.03109375,0.04359375,0.03421875,0.031171875,0,0,31.59045455
1990-04-14,8.476371197,0.05296875,0.0415625,0.04203125,0.0384375,0.03109375,0.048854167,0.03734375,0.04,0.03109375,0.02171875,0.031171875,0,0,31.4404
1990-04-21,9.77201119,0.03734375,0.0415625,0.04921875,0.03109375,0.03109375,0.0421875,0.0384375,0.04,0.03109375,0.03421875,0.031171875,0,0,24.81416058
1990-04-28,8.99516499,0.03734375,0.053020833,0.04921875,0.02640625,0.03109375,0.0421875,0.0384375,0.04,0.03109375,0.03421875,0.023359375,1,0,17.02952381
1990-05-05,8.895081532,0.05296875,0.053020833,0.02953125,0.0384375,0.03109375,0.0421875,0.03109375,0.0390625,0.03109375,0.03421875,0.023359375,1,0,40.67289474
1990-05-12,9.182763604,0.04046875,0.053020833,0.04921875,0.0384375,0.0384375,0.0421875,0.0384375,0.0390625,0.036875,0.01546875,0.033515625,1,0,34.99052632
1990-05-19,8.987196821,0.04046875,0.053020833,0.04921875,0.02640625,0.0384375,0.0415625,0.0384375,0.04,0.03109375,0.03421875,0.027265625,1,0,30.85312
1990-05-26,8.219326094,0.05296875,0.037395833,0.04921875,0.02640625,0.03109375,0.0415625,0.0384375,0.03578125,0.03109375,0.03421875,0.027265625,0,0,47.24637931
1990-06-02,8.201934351,0.05296875,0.037395833,0.04921875,0.0384375,0.0384375,0.0415625,0.0384375,0.03578125,0.03109375,0.02328125,0.027265625,0,0,45.56649123
1990-06-09,9.30054664,0.03890625,0.037395833,0.04203125,0.0384375,0.03765625,0.041354167,0.0384375,0.04,0.03109375,0.02328125,0.033515625,1,0,31.65
1990-06-16,8.286017468,0.05296875,0.053020833,0.04203125,0.02328125,0.03765625,0.041354167,0.0384375,0.04,0.03109375,0.03421875,0.027265625,0,0,48.55741935
1990-06-23,8.333270353,0.05296875,0.053020833,0.04921875,0.02328125,0.03765625,0.041354167,0.03109375,0.03421875,0.03109375,0.03421875,0.027265625,0,0,48.15846154
1990-06-30,8.540909718,0.05296875,0.053020833,0.04921875,0.0384375,0.03109375,0.0415625,0.0384375,0.03421875,0.036875,0.03109375,0.033515625,0,0,48.23175
1990-07-07,8.14786713,0.05296875,0.053020833,0.04921875,0.0384375,0.0384375,0.0421875,0.0384375,0.04,0.03421875,0.01703125,0.033515625,1,0,46.34888889
1990-07-14,8.378390789,0.05296875,0.049479167,0.04921875,0.02796875,0.0384375,0.0415625,0.0384375,0.0353125,0.03421875,0.03421875,0.027265625,0,0,43.27764706
1990-07-21,8.269756948,0.05296875,0.049479167,0.04921875,0.0384375,0.02640625,0.0415625,0.03765625,0.0353125,0.03421875,0.03421875,0.027265625,1,0,45.16639344
1990-07-28,11.00263303,0.02640625,0.049479167,0.04921875,0.0384375,0.02640625,0.0415625,0.03765625,0.0353125,0.03421875,0.02484375,0.033515625,1,1,4.221044776
1990-08-04,9.018695488,0.05296875,0.049479167,0.02453125,0.03671875,0.0384375,0.0421875,0.03765625,0.0353125,0.036875,0.02484375,0.033515625,0,0,46.47782946
1990-08-11,10.25470765,0.03109375,0.049479167,0.04921875,0.03671875,0.03265625,0.0390625,0.03796875,0.01765625,0.02796875,0.02484375,0.028828125,1,1,14.67720721
1990-08-18,8.783855897,0.05296875,0.0446875,0.04921875,0.03671875,0.03265625,0.038229167,0.03796875,0.0353125,0.02796875,0.01546875,0.028828125,0,0,48.59735294
1990-08-25,10.52535353,0.03109375,0.049479167,0.04921875,0.03671875,0.03265625,0.038229167,0.03796875,0.0353125,0.02796875,0.03421875,0.028828125,1,1,2.710859107
1990-09-01,9.270870872,0.03109375,0.049479167,0.04046875,0.03671875,0.03265625,0.038229167,0.03796875,0.02328125,0.02796875,0.03421875,0.023359375,1,0,1.469036145
1990-09-08,7.920083199,0.05296875,0.049479167,0.04046875,0.0384375,0.02171875,0.038229167,0.0384375,0.02328125,0.036875,0.03421875,0.028828125,0,0,42.17511628
1990-09-15,9.614204199,0.03578125,0.049479167,0.04046875,0.0384375,0.0353125,0.0390625,0.0384375,0.02328125,0.02640625,0.03421875,0.028828125,1,1,15.3525641
1990-09-22,8.30201781,0.05296875,0.0415625,0.04921875,0.03671875,0.0353125,0.0390625,0.0353125,0.02328125,0.02640625,0.02484375,0.028828125,0,0,42.47539683
1990-09-29,8.14786713,0.05296875,0.0415625,0.04921875,0.03671875,0.0353125,0.0390625,0.01765625,0.02328125,0.02640625,0.02484375,0.028828125,1,0,42.3962963
1990-10-06,10.45783233,0.03109375,0.049479167,0.04828125,0.03671875,0.0353125,0.0390625,0.0353125,0.0353125,0.036875,0.03265625,0.028828125,1,0,1.624338235
1990-10-13,9.282847063,0.03109375,0.049479167,0.04828125,0.0275,0.02640625,0.0390625,0.02640625,0.02640625,0.02765625,0.02203125,0.028828125,1,0,3.2325
1990-10-20,8.184234774,0.05296875,0.049479167,0.04671875,0.03671875,0.0353125,0.037395833,0.0353125,0.0353125,0.02015625,0.02015625,0.028828125,1,0,39.39928571
1990-10-27,8.921057018,0.05296875,0.046770833,0.04828125,0.03671875,0.02640625,0.037395833,0.0353125,0.0353125,0.036875,0.02953125,0.028828125,1,0,39.43769231
1990-11-03,10.0804615,0.03109375,0.046770833,0.04828125,0.03671875,0.02640625,0.037395833,0.0353125,0.0353125,0.036875,0.02953125,0.028828125,0,0,13.57
1990-11-10,9.400630098,0.03109375,0.049479167,0.03109375,0.03671875,0.0353125,0.037395833,0.0353125,0.0353125,0.036875,0.02484375,0.028828125,1,0,11.58089947
1990-11-17,9.189321005,0.03109375,0.039479167,0.03109375,0.03671875,0.0353125,0.0390625,0.03109375,0.03421875,0.036875,0.02484375,0.023359375,1,0,7.959281046
1990-11-24,8.929567708,0.05296875,0.039479167,0.04585108,0.03109375,0.0353125,0.0390625,0.03109375,0.03140625,0.036875,0.02953125,0.023359375,1,0.63559322,37.46
1990-12-01,9.635346635,0.03421875,0.049479167,0.03734375,0.03671875,0.0353125,0.0390625,0.03109375,0.03140625,0.036875,0.01546875,0.028828125,1,0,3.2
1990-12-08,8.66974259,0.03421875,0.049479167,0.03734375,0.03671875,0.0353125,0.0390625,0.03109375,0.03421875,0.02953125,0.01546875,0.028828125,1,0,3.2
1990-12-15,8.489616424,0.05296875,0.049479167,0.03734375,0.03671875,0.0353125,0.0390625,0.0353125,0.03421875,0.036875,0.02328125,0.028828125,0,0,37.46
1990-12-22,8.269756948,0.05296875,0.049479167,0.04296875,0.03671875,0.02015625,0.0390625,0.0353125,0.03421875,0.036875,0.02328125,0.028828125,1,0,37.46
1990-12-29,8.269756948,0.05296875,0.045729167,0.04296875,0.03109375,0.0353125,0.0390625,0.0353125,0.03125,0.036875,0.02171875,0.025703125,0,0,36.35
