Series2,Series3,Series4,Series5
23.70,158.08,189.83,40.35
20.10,157.5,170.90,39.53
32.53,157.86,177.52,37.91
53.05,156.88,198.32,39
64.38,157.76,198.73,38.12
92.98,157.33,185.92,37.77
114.21,156.32,177.14,39.49
104.79,154.95,186.50,37.53
174.54,157.26,195.20,37.25
133.47,156.89,181.22,36.45
211.50,161.23,187.25,34.16
228.68,161.49,186.81,34.46
294.93,166.09,184.27,31.27
270.67,170.79,188.07,33.94
152.81,174.7,177.70,29.66
196.62,175.9,172.11,32.69
274.10,172.57,169.71,30.91
239.85,174.14,168.08,32.08
219.16,171.81,171.54,31.88
243.52,170.88,169.32,32.67
274.49,166.06,182.72,32.81
363.10,160.24,176.31,32.9
411.34,156.3,186.38,32.83
450.16,156.67,193.12,33.35
605.59,151.43,203.27,32.17
677.10,148.3,194.15,32.95
882.63,144.24,172.51,32.73
1108.26,139.65,166.38,32.23
1390.88,139.08,191.00,31.79
901.58,136.79,173.44,32.95
674.19,128.55,164.79,30.13
815.36,120.41,163.89,33.56
637.63,115.66,161.96,30.8
1114.68,104.85,156.96,33.25
1191.56,98.6,151.50,32.04
1429.28,92.02,158.26,34.65
1502.44,85.12,153.72,33.3
2119.43,82.16,160.87,38.68
1783.24,73.68,169.25,33.74
2527.84,66.58,173.57,39.1
2122.35,64.65,181.58,37
1843.77,57.53,195.18,36.48
1667.92,53.47,186.72,36.84
1315.12,48.63,181.86,36.75
1439.76,46.38,160.70,34.02
1504.93,44.94,166.38,35.22
1347.59,44.52,175.04,33.94
959.82,49.39,194.64,34.31
1293.01,50.12,207.95,32.19
1026.99,51.34,215.43,32.36
1304.46,52.36,221.23,33.08
1360.24,55.14,219.47,29.84
1403.76,52.7,231.04,33.16
1160.71,54.23,210.79,29.96
1638.68,50.82,184.59,31.58
1642.01,54.53,196.85,29.08
1541.94,49.62,196.62,30.43
1848.76,48.79,200.52,27.95
1209.95,51.34,211.50,28.01
1252.81,49.85,204.86,26.91
1540.93,54.89,207.83,26.23
2273.12,62.28,198.72,25.59
1687.43,64.36,208.67,26.02
1294.67,64.87,194.59,23.9
952.82,65.41,175.51,24.55
1106.33,65.93,178.93,24.05
1109.50,68.93,167.13,23.22
752.42,70.2,162.89,24.02
810.34,73.17,174.56,22.72
1174.11,75.19,172.87,24.23
706.57,73.09,157.46,21.54
657.64,70.27,145.87,24.18
504.09,64.34,141.05,22.25
703.96,61.27,154.13,24.61
900.03,52.63,143.26,23.48
560.78,42.76,139.58,24.69
497.60,35.37,142.99,23.45
538.40,35.36,145.38,22.45
571.21,29.05,148.82,23.29
777.63,24.07,142.46,20.22
1030.63,19.98,130.81,22.66
1195.99,16.51,133.34,20.35
1031.83,13.24,135.31,23.29
1080.59,7.3,133.69,21.82
1275.45,3.64,143.83,23.27
1172.43,3,155.75,24.79
1232.68,4.26,161.89,21.93
1622.22,8.94,158.28,24.98
919.74,12.01,160.56,21.88
702.99,17.13,159.39,22.14
982.33,21.99,162.41,21.39
913.34,27.4,162.25,21.73
1032.17,30.91,164.92,20.74
924.51,37.21,160.84,21.69
1043.94,44.62,167.33,21.16
453.85,48.97,169.13,21.66
466.70,54.85,183.03,19.35
496.95,61.91,176.46,20.93
740.09,63.95,168.43,16.1
754.77,69.54,173.67,18.23
889.38,72.31,190.05,13.91
601.09,79.01,190.93,16.56
758.24,82.65,197.91,13.6
739.49,83.34,194.87,16.38
653.44,88.58,190.51,12.96
663.16,87.63,178.49,16.9
668.68,88.29,176.16,13.79
668.67,88.39,175.21,15.56
704.31,88.94,175.15,13.26
971.42,84.25,190.55,14.47
928.07,84.65,186.50,12.19
1198.11,83.75,158.59,13.59
1470.71,85.12,142.23,13.32
1333.20,84.33,146.72,14.83
1240.43,84.84,145.53,14.56
1252.33,87.06,157.72,14.37
933.55,87.62,172.71,15.09
1073.71,88.39,185.76,13.95
1038.06,88.69,165.75,14.95
1337.39,82.98,164.79,14.85
1271.68,79.21,143.53,16.21
915.59,73.43,147.02,17.25
960.67,72.14,153.31,18.02
400.41,68.41,157.10,18.57
429.87,65.59,142.10,21.4
280.91,63.24,122.27,20.45
471.00,67.09,120.84,23.53
417.16,72.5,125.68,22.38
525.39,76.51,130.85,23.36
637.28,79.16,131.15,24.44
792.18,80.51,126.28,24.35
570.93,76.91,122.82,27.36
270.46,70.65,131.54,26.18
145.66,69.59,146.29,28.67
174.96,71.52,153.88,28.27
208.56,72.31,152.93,28.07
261.22,73.41,151.07,29.13
167.30,75.36,132.29,28.86
152.98,77.65,148.54,29.95
94.21,77.3,149.63,31.31
105.98,73.32,165.80,32.17
109.04,71.55,176.49,32.31
164.94,67.08,180.41,32.93
258.95,60.22,177.47,32.24
275.32,53.42,177.91,33.7
357.03,49.63,167.89,33.24
369.81,41.45,161.84,35.24
333.72,41.57,168.33,34.91
334.85,37.8,174.52,36.12
268.01,38.63,187.98,33.77
238.78,33.58,170.40,35.25
330.76,33.21,181.18,33.65
287.82,38.27,196.96,34.24
337.14,43.66,203.38,32.58
369.07,50.8,191.62,36.85
390.50,60.58,190.05,33.89
508.43,66.71,191.94,36.76
437.44,71.09,185.15,37.44
489.50,74.72,192.45,36.93
361.32,80.56,184.19,37.79
458.38,86.18,196.48,38.29
534.22,88.75,190.61,38.39
784.03,93.25,201.46,37.76
645.61,103.18,200.17,37.79
754.88,110.09,200.61,36.96
663.46,119.44,196.91,36.26
500.29,130.9,180.52,35.83
434.74,138.5,187.09,34.95
357.25,143.47,182.29,35.7
321.08,150.89,187.31,35.86
302.81,155.31,161.53,36.1
245.70,158.16,122.88,36.18
260.40,160.8,117.29,37.81
302.38,159.46,130.53,37.51
251.37,159.48,151.19,37.68
145.56,154.77,152.14,37.09
135.90,151.3,156.12,36.06
118.04,146.22,145.30,34.58
163.54,145.25,140.70,34.95
179.70,139.87,149.49,33.95
162.27,136.46,148.06,36.24
158.47,128.87,156.83,33.51
186.20,127.73,169.04,36.43
294.09,123.19,174.69,33.1
314.68,125.66,177.44,36.36
222.05,121.66,176.45,31.68
194.98,115.54,180.02,33.85
219.05,110.95,164.50,31.14
271.92,106.26,175.38,32.41
298.31,100.97,163.88,30.98
225.53,101.98,145.69,32.06
201.72,100.32,142.29,31.6
196.50,101.09,153.77,31.54
208.63,101.8,148.67,30.78
200.69,98.89,152.35,32.23
104.73,96.05,162.61,30.35
152.22,94.15,168.14,32.34
168.58,85.78,185.59,30.94
93.31,82.81,191.24,32.22
106.45,81.65,186.01,30.83
126.27,81.71,177.99,30.79
148.69,83.07,166.91,31.73
166.73,88.12,176.72,33.16
242.59,88.81,187.76,33.52
133.36,93.58,201.40,35.25
145.41,100.42,209.20,37.69
139.63,107.19,221.32,38.72
102.95,110.12,224.61,39.59
74.24,114.65,226.35,41.16
56.46,118.77,225.68,40.48
60.20,121.44,210.03,40.27
65.63,120.55,202.25,41.08
99.71,120.07,204.21,38.23
125.72,122.34,205.98,41.57
152.05,124.67,210.90,38.72
131.86,121.59,228.29,39.5
134.76,122.24,227.14,38.67
194.44,121.55,216.54,39.03
98.40,123.41,200.41,37.5
139.44,123.07,172.93,38.94
144.95,123.5,176.66,38.2
147.50,125.31,192.88,38.96
120.65,130.36,177.25,38.78
115.34,130.23,183.50,38.97
96.70,127.21,208.03,39.91
125.14,124.05,198.22,39
94.39,124.57,192.66,39.17
68.57,123.35,185.29,38.22
90.59,126.11,174.41,39.07
46.41,126.76,148.42,37.57
48.60,128.02,138.66,39.3
52.77,122.51,146.37,37.45
57.70,122.79,145.84,40.06
70.09,120.79,157.53,38.61
96.22,120.5,158.14,41.33
129.99,120.54,157.78,39.23
157.32,126.1,137.68,41.15
151.06,130.51,136.52,40.88
189.62,132.88,144.55,40.54
192.95,132.37,143.93,40.37
239.97,131.91,144.70,41.75
212.34,134.03,149.53,40.35
278.31,130.44,171.13,42.22
265.22,133.16,166.45,40.38
284.35,133.63,174.99,42.13
369.30,138.01,177.85,40.51
100.37,141.02,183.99,39.28
96.29,142.22,175.54,41.11
101.71,145.54,160.96,37.52
125.63,141.41,161.58,39.53
93.34,140.4,164.83,37.43
84.23,138.64,182.61,36.95
82.35,138.93,190.72,36.38
59.18,142.27,190.66,36.98
91.75,140.23,193.92,35.62
85.89,149.43,215.08,35.88
114.92,156.16,221.43,36.4
156.93,158.72,217.32,35.13
121.17,162.01,200.65,36.27
99.78,163.26,209.33,34.28
125.66,163.83,207.28,35.78
86.63,170.36,202.48,35.58
112.88,173.12,205.63,35.66
200.67,176.42,179.62,36.03
219.95,180.81,172.85,36.66
252.94,185.88,194.38,35.78
269.76,187.42,181.36,36.13
351.54,187.96,168.07,36.06
378.81,183.62,175.22,33.91
341.39,178.86,172.10,37.76
322.81,173.96,182.81,34.43
329.87,172.24,187.99,38.36
315.88,169.34,186.24,37.55
127.74,165.4,191.86,39.18
192.06,158.88,179.57,39.01
257.78,158.45,171.88,39.86
379.13,157,163.10,37.53
311.44,155.64,165.24,41.68
168.14,151.66,178.47,38.74
276.50,146.59,179.60,40.74
237.16,138.78,172.71,41.47
313.51,132.37,163.07,41.98
426.30,122.69,153.14,40.48
461.78,113.14,159.42,42.72
547.05,103.47,161.03,41.32
470.29,100.14,150.74,41.84
367.65,100.78,135.83,42.42
289.85,95.58,128.55,41.15
384.23,95.09,119.03,41.61
469.37,93.24,123.89,40.04
420.24,88.5,146.57,40.12
445.13,88.72,156.48,39.64
452.61,88.51,158.87,39.81
359.67,87.23,157.10,40.04
472.12,85.33,159.12,42.81
309.67,86.64,167.67,40.4
278.20,86.55,167.71,44.35
265.10,85,145.80,41.73
