"","year","period","periodName","latest","value","footnotes","seriesID"
"1",2023,"M03","March","true",301.836,"","CUUR0000SA0"
"2",2023,"M02","February",NA,300.84,"","CUUR0000SA0"
"3",2023,"M01","January",NA,299.17,"","CUUR0000SA0"
"4",2022,"M12","December",NA,296.797,"","CUUR0000SA0"
"5",2022,"M11","November",NA,297.711,"","CUUR0000SA0"
"6",2022,"M10","October",NA,298.012,"","CUUR0000SA0"
"7",2022,"M09","September",NA,296.808,"","CUUR0000SA0"
"8",2022,"M08","August",NA,296.171,"","CUUR0000SA0"
"9",2022,"M07","July",NA,296.276,"","CUUR0000SA0"
"10",2022,"M06","June",NA,296.311,"","CUUR0000SA0"
"11",2022,"M05","May",NA,292.296,"","CUUR0000SA0"
"12",2022,"M04","April",NA,289.109,"","CUUR0000SA0"
"13",2022,"M03","March",NA,287.504,"","CUUR0000SA0"
"14",2022,"M02","February",NA,283.716,"","CUUR0000SA0"
"15",2022,"M01","January",NA,281.148,"","CUUR0000SA0"
"16",2021,"M12","December",NA,278.802,"","CUUR0000SA0"
"17",2021,"M11","November",NA,277.948,"","CUUR0000SA0"
"18",2021,"M10","October",NA,276.589,"","CUUR0000SA0"
"19",2021,"M09","September",NA,274.31,"","CUUR0000SA0"
"20",2021,"M08","August",NA,273.567,"","CUUR0000SA0"
"21",2021,"M07","July",NA,273.003,"","CUUR0000SA0"
"22",2021,"M06","June",NA,271.696,"","CUUR0000SA0"
"23",2021,"M05","May",NA,269.195,"","CUUR0000SA0"
"24",2021,"M04","April",NA,267.054,"","CUUR0000SA0"
"25",2021,"M03","March",NA,264.877,"","CUUR0000SA0"
"26",2021,"M02","February",NA,263.014,"","CUUR0000SA0"
"27",2021,"M01","January",NA,261.582,"","CUUR0000SA0"
"28",2020,"M12","December",NA,260.474,"","CUUR0000SA0"
"29",2020,"M11","November",NA,260.229,"","CUUR0000SA0"
"30",2020,"M10","October",NA,260.388,"","CUUR0000SA0"
"31",2020,"M09","September",NA,260.28,"","CUUR0000SA0"
"32",2020,"M08","August",NA,259.918,"","CUUR0000SA0"
"33",2020,"M07","July",NA,259.101,"","CUUR0000SA0"
"34",2020,"M06","June",NA,257.797,"","CUUR0000SA0"
"35",2020,"M05","May",NA,256.394,"","CUUR0000SA0"
"36",2020,"M04","April",NA,256.389,"","CUUR0000SA0"
"37",2020,"M03","March",NA,258.115,"","CUUR0000SA0"
"38",2020,"M02","February",NA,258.678,"","CUUR0000SA0"
"39",2020,"M01","January",NA,257.971,"","CUUR0000SA0"
"40",2019,"M12","December",NA,256.974,"","CUUR0000SA0"
"41",2019,"M11","November",NA,257.208,"","CUUR0000SA0"
"42",2019,"M10","October",NA,257.346,"","CUUR0000SA0"
"43",2019,"M09","September",NA,256.759,"","CUUR0000SA0"
"44",2019,"M08","August",NA,256.558,"","CUUR0000SA0"
"45",2019,"M07","July",NA,256.571,"","CUUR0000SA0"
"46",2019,"M06","June",NA,256.143,"","CUUR0000SA0"
"47",2019,"M05","May",NA,256.092,"","CUUR0000SA0"
"48",2019,"M04","April",NA,255.548,"","CUUR0000SA0"
"49",2019,"M03","March",NA,254.202,"","CUUR0000SA0"
"50",2019,"M02","February",NA,252.776,"","CUUR0000SA0"
"51",2019,"M01","January",NA,251.712,"","CUUR0000SA0"
"52",2018,"M12","December",NA,251.233,"","CUUR0000SA0"
"53",2018,"M11","November",NA,252.038,"","CUUR0000SA0"
"54",2018,"M10","October",NA,252.885,"","CUUR0000SA0"
"55",2018,"M09","September",NA,252.439,"","CUUR0000SA0"
"56",2018,"M08","August",NA,252.146,"","CUUR0000SA0"
"57",2018,"M07","July",NA,252.006,"","CUUR0000SA0"
"58",2018,"M06","June",NA,251.989,"","CUUR0000SA0"
"59",2018,"M05","May",NA,251.588,"","CUUR0000SA0"
"60",2018,"M04","April",NA,250.546,"","CUUR0000SA0"
"61",2018,"M03","March",NA,249.554,"","CUUR0000SA0"
"62",2018,"M02","February",NA,248.991,"","CUUR0000SA0"
"63",2018,"M01","January",NA,247.867,"","CUUR0000SA0"
"64",2017,"M12","December",NA,246.524,"","CUUR0000SA0"
"65",2017,"M11","November",NA,246.669,"","CUUR0000SA0"
"66",2017,"M10","October",NA,246.663,"","CUUR0000SA0"
"67",2017,"M09","September",NA,246.819,"","CUUR0000SA0"
"68",2017,"M08","August",NA,245.519,"","CUUR0000SA0"
"69",2017,"M07","July",NA,244.786,"","CUUR0000SA0"
"70",2017,"M06","June",NA,244.955,"","CUUR0000SA0"
"71",2017,"M05","May",NA,244.733,"","CUUR0000SA0"
"72",2017,"M04","April",NA,244.524,"","CUUR0000SA0"
"73",2017,"M03","March",NA,243.801,"","CUUR0000SA0"
"74",2017,"M02","February",NA,243.603,"","CUUR0000SA0"
"75",2017,"M01","January",NA,242.839,"","CUUR0000SA0"
"76",2016,"M12","December",NA,241.432,"","CUUR0000SA0"
"77",2016,"M11","November",NA,241.353,"","CUUR0000SA0"
"78",2016,"M10","October",NA,241.729,"","CUUR0000SA0"
"79",2016,"M09","September",NA,241.428,"","CUUR0000SA0"
"80",2016,"M08","August",NA,240.849,"","CUUR0000SA0"
"81",2016,"M07","July",NA,240.628,"","CUUR0000SA0"
"82",2016,"M06","June",NA,241.018,"","CUUR0000SA0"
"83",2016,"M05","May",NA,240.229,"","CUUR0000SA0"
"84",2016,"M04","April",NA,239.261,"","CUUR0000SA0"
"85",2016,"M03","March",NA,238.132,"","CUUR0000SA0"
"86",2016,"M02","February",NA,237.111,"","CUUR0000SA0"
"87",2016,"M01","January",NA,236.916,"","CUUR0000SA0"
"88",2015,"M12","December",NA,236.525,"","CUUR0000SA0"
"89",2015,"M11","November",NA,237.336,"","CUUR0000SA0"
"90",2015,"M10","October",NA,237.838,"","CUUR0000SA0"
"91",2015,"M09","September",NA,237.945,"","CUUR0000SA0"
"92",2015,"M08","August",NA,238.316,"","CUUR0000SA0"
"93",2015,"M07","July",NA,238.654,"","CUUR0000SA0"
"94",2015,"M06","June",NA,238.638,"","CUUR0000SA0"
"95",2015,"M05","May",NA,237.805,"","CUUR0000SA0"
"96",2015,"M04","April",NA,236.599,"","CUUR0000SA0"
"97",2015,"M03","March",NA,236.119,"","CUUR0000SA0"
"98",2015,"M02","February",NA,234.722,"","CUUR0000SA0"
"99",2015,"M01","January",NA,233.707,"","CUUR0000SA0"
