TRX_DATE,NET_SALES
8/8/2017,57.8
7/17/2019,1414.32
5/13/2016,59.94
11/17/2016,876
2/16/2016,1530
11/23/2016,22019.75
10/14/2015,3432
7/17/2019,15.95
3/14/2019,47.85
5/8/2019,3478.76
7/13/2017,51.8
11/7/2018,12558.44
8/11/2017,0
1/25/2019,1033.96
9/24/2015,420
1/22/2018,2423.05
6/18/2019,11030.02
1/19/2016,798
12/21/2018,4199.3
1/23/2016,10
5/21/2015,66
11/10/2015,0
8/4/2016,648
12/28/2018,165.2
1/9/2019,1519.6
11/20/2015,1094
9/26/2016,50
11/13/2018,329.95
1/5/2017,123.25
6/26/2015,30304.5
11/14/2018,1866.31
2/22/2018,1057.98
9/14/2017,639.79
9/19/2017,8084.46
3/27/2019,7606.62
4/24/2015,193.5
8/23/2017,1829.7
5/19/2017,859.65
11/7/2019,-3.55E-15
9/14/2015,0
4/1/2016,2552
7/3/2019,31.9
5/7/2018,-7.11E-15
1/14/2016,30.57
5/24/2017,519.8
4/16/2019,1749.8
7/31/2019,932.5
2/29/2016,21.07
6/7/2018,168.35
9/11/2017,1817.8
7/26/2016,2645
4/23/2019,59.9
1/27/2016,1118.64
3/26/2018,149.95
6/20/2016,100
11/4/2015,5752
1/17/2019,170.24
3/22/2018,234.82
11/13/2015,8490
12/17/2018,390.67
9/27/2019,723.76
5/31/2019,54.56
4/19/2017,403.9
1/4/2019,8148.65
5/20/2015,4396.5
10/13/2015,0
6/7/2019,3859.51
3/14/2019,3308.35
10/22/2018,45.67
4/12/2017,1747.21
6/22/2017,77.7
6/8/2017,15.95
6/7/2018,1600
12/15/2016,958
10/20/2017,1177.9
12/8/2018,4929.26
4/24/2019,89.95
12/6/2017,1569.46
6/27/2016,5420
1/4/2018,179.4
7/12/2018,76.85
5/30/2017,329.95
7/26/2018,0
4/11/2018,193.65
12/6/2018,29.95
6/10/2019,0
12/26/2017,450
2/15/2019,150
9/23/2019,3405.91
8/16/2017,586.9
11/28/2016,1181
12/8/2016,72
9/19/2017,2399.7
10/14/2016,4193
9/17/2018,155.4
12/8/2018,659.9
12/29/2015,135.65
5/23/2015,2133
1/2/2019,1649.85
8/15/2019,1403.81
9/27/2018,0
11/28/2016,3192
6/29/2015,1101
3/11/2019,129.75
12/16/2016,80
5/23/2019,22000.47
10/9/2017,2939.75
12/13/2016,502.2
3/4/2019,0
8/30/2016,10
9/6/2019,1479.32
5/13/2015,615
12/7/2018,103.6
5/26/2017,3317.54
1/15/2019,1929.8
9/19/2019,149.9
1/7/2019,9.95
1/30/2018,32.99
11/30/2018,4419.5
11/17/2016,498
12/15/2017,117.71
11/21/2016,1245
4/29/2017,1714.51
2/14/2017,999.8
2/17/2016,2694
4/19/2018,22.95
3/21/2019,74.95
6/18/2019,166.8
8/5/2016,17561
5/21/2019,3209.7
5/30/2018,139.95
9/25/2015,0
1/18/2016,569
11/24/2015,1716
4/21/2015,150
8/23/2017,160212.53
6/9/2015,5151
5/2/2019,6058.05
12/11/2015,7075.75
5/15/2017,10.95
12/12/2015,840
5/8/2015,372
8/15/2018,2204.56
7/9/2019,7668.4
3/29/2017,0
7/19/2018,504.85
2/6/2018,3099.55
7/26/2019,1556.05
6/8/2018,4249.15
4/26/2016,1624.49
3/21/2018,0
1/14/2016,684
3/22/2018,1286.81
12/10/2015,883.4
10/8/2015,0
8/10/2015,10621
3/12/2019,1899.75
6/21/2017,19.95
12/29/2016,6920
3/3/2017,336.7
12/12/2019,19571.88
5/31/2017,284.9
11/22/2016,2920.5
9/21/2017,1884.31
12/27/2018,869.7
8/21/2019,3923.46
9/30/2016,987
10/25/2018,199.6
7/7/2015,1000.51
8/16/2018,949.8
9/26/2016,318
6/16/2016,318
6/18/2019,4849.45
11/30/2016,30981
7/6/2018,12417.7
5/23/2019,207.25
12/4/2019,259.9
9/16/2017,316.19
12/4/2017,3508.75
7/20/2018,43.8
9/7/2016,17804.15
3/22/2018,5982.52
9/16/2019,3184.02
10/2/2018,189.57
11/12/2018,137.54
9/16/2015,384
1/20/2017,-1.07E-14
12/11/2019,2739.66
5/8/2017,1884.38
9/3/2019,1459.29
6/14/2017,374.85
1/21/2019,39.92
10/26/2018,25.9
5/29/2015,19307
12/12/2016,348
9/8/2017,1316.09
1/24/2017,0
8/8/2019,64.75
7/19/2017,51.8
1/14/2019,217.45
2/22/2019,259
4/28/2016,479
8/15/2017,1239.24
2/28/2019,47.85
3/7/2016,12722.25
11/24/2015,2553
11/5/2015,89.7
7/12/2019,926.51
7/23/2018,1889.85
8/7/2019,399.8
7/27/2015,5
7/13/2018,100
12/2/2017,33.9
2/22/2018,99
2/16/2018,634.75
6/30/2016,0
6/18/2016,5391
12/17/2018,278.16
8/8/2019,1121.5
9/10/2019,1379.77
12/10/2018,2749.75
5/7/2018,3789.65
9/6/2018,2648.6
5/19/2016,65
10/25/2016,499
1/20/2018,1159.86
7/17/2015,0
4/8/2016,1631.24
5/12/2015,28.5
8/26/2019,1070.96
3/20/2019,3539.7
2/19/2016,1272
8/14/2017,1169.81
10/8/2015,209.65
3/25/2016,45
8/14/2017,0
5/12/2017,2222.95
4/20/2017,1148.65
9/23/2019,25.9
8/16/2019,347.85
12/5/2016,0
12/12/2016,3033
8/10/2018,52.41
1/22/2019,2749.55
10/2/2018,114.45
12/20/2019,1059.85
12/21/2015,599
11/15/2019,1019.85
5/16/2018,10.95
4/16/2018,104.25
2/15/2019,139.9
7/10/2015,496.5
3/28/2018,389.81
5/27/2016,578
3/30/2015,429
5/4/2015,89.91
2/23/2016,4422.65
8/9/2018,77.11
11/23/2016,1137
12/30/2019,1349.85
3/16/2018,216.91
10/14/2019,4429.55
10/30/2018,77.7
8/27/2019,603.5
11/6/2019,689.85
5/9/2015,27.8
12/18/2018,3299.7
10/14/2017,1799.85
1/4/2018,197.1
5/24/2017,4840.25
12/10/2019,15.95
4/13/2016,0
12/19/2019,2624.75
4/23/2016,0
1/23/2016,60
4/1/2015,987
8/1/2019,0
11/22/2017,0
7/16/2015,0
8/21/2019,0
11/2/2018,75
5/7/2016,2880
5/24/2016,1672
11/30/2015,0
10/26/2018,139.95
7/17/2017,159.95
11/9/2015,2810.15
10/19/2016,3827
5/23/2019,30.3
2/2/2016,300
5/31/2017,15.95
3/9/2017,1998.35
2/18/2019,2205.8
1/4/2018,3379.35
9/25/2017,-3.55E-15
11/18/2019,25.07
8/25/2015,1996
7/18/2019,1059.85
5/30/2018,6294.1
6/24/2015,24320.75
11/21/2015,185.5
10/25/2018,9573.08
8/6/2015,893
12/1/2016,18369.25
9/14/2017,557.95
1/16/2017,1294
6/13/2019,584.96
5/2/2017,179.1
4/11/2019,178.9
5/18/2017,3020.35
2/14/2017,90.35
11/7/2018,1223.03
3/27/2017,38.85
1/8/2016,345
8/3/2016,5
6/22/2016,2362
10/17/2019,67.89
9/19/2019,179.55
1/11/2016,822.25
10/30/2017,244.91
3/22/2016,2182
7/4/2018,13.9
11/13/2015,15
10/23/2018,239.88
10/3/2019,803.31
11/1/2016,426
11/19/2015,139
11/28/2018,1390.47
5/6/2019,819.5
1/5/2017,922
5/7/2019,0
8/18/2015,4788
1/27/2018,0
9/5/2018,1599.8
6/21/2017,75.55
5/4/2017,3743.6
10/5/2015,39.9
9/16/2019,698.65
11/12/2018,6268.96
9/1/2016,19
8/8/2016,528
10/29/2019,1119.8
10/14/2016,4041
2/6/2019,5867.12
9/29/2018,499.9
11/10/2017,236.91
9/1/2017,735
12/20/2019,8.95
1/30/2016,987
1/21/2016,1215
7/6/2017,3914.61
6/25/2019,0
2/19/2018,4876.25
4/1/2019,528.7
3/26/2019,1252.76
6/7/2016,171
10/2/2017,269.95
4/26/2017,-280.35
8/29/2019,200.48
10/10/2019,7874.25
9/24/2019,2519.55
8/29/2017,8283.5
6/12/2019,4649.4
12/13/2019,0
12/10/2016,3184
11/24/2018,764.92
9/9/2019,134.55
10/18/2018,379.81
12/5/2018,322.35
12/27/2016,252
12/23/2015,150
9/27/2016,72
7/3/2018,25.9
4/21/2016,270
8/16/2017,26.65
9/18/2015,9272
6/26/2017,15.95
11/24/2015,59.8
8/28/2017,1149.9
12/8/2017,2099.65
12/22/2015,116.46
12/5/2018,389.94
8/5/2019,998.6
12/13/2017,0
2/10/2017,55.48
9/17/2019,132.05
9/8/2015,15
12/4/2019,6666.87
7/5/2019,9480.24
7/3/2018,759.9
12/11/2017,266.1
2/1/2018,-3.55E-15
7/2/2018,47.85
4/15/2016,2331.5
10/19/2016,891
9/4/2019,849.9
11/12/2019,89.95
10/21/2015,345.82
3/2/2017,4559.4
11/2/2017,89.95
11/24/2018,59.1
12/21/2018,2936.92
8/22/2019,499.8
6/24/2016,29
11/1/2017,59.7
3/27/2019,2134.3
9/30/2017,727.37
7/16/2019,2640.46
7/26/2019,90.65
5/16/2016,3245
4/4/2016,6348
5/20/2016,15272
12/12/2015,44.41
7/26/2017,135.87
10/13/2017,139.95
4/10/2015,4232
1/31/2019,1659.75
7/29/2015,1390
6/21/2016,1140
5/15/2019,5742.77
8/16/2016,1196
7/24/2015,2313
9/24/2018,459.8
12/9/2019,202056.01
2/2/2018,181.3
6/29/2015,1974
3/7/2019,9598.77
7/12/2019,9588.2
1/26/2018,2897.75
1/27/2017,489.25
3/14/2019,39.9
11/9/2015,566
1/18/2016,3913
9/8/2015,15
7/19/2018,0
3/7/2019,7259.07
4/6/2017,9017.6
11/30/2018,259
7/28/2017,31.9
3/7/2016,62.55
7/12/2017,1046.7
3/27/2018,230.15
1/10/2017,168
11/26/2019,159.95
8/29/2017,7.11E-15
11/6/2019,619.55
9/19/2018,618.8
4/5/2017,899.9
1/22/2019,108.69
3/19/2018,3539.71
12/20/2016,5860
9/29/2016,1316
8/11/2016,675
12/18/2015,2134
1/19/2016,7381.04
7/3/2019,1436.85
6/17/2019,2792.41
9/7/2016,73.33
10/20/2016,45
10/12/2015,917.5
3/4/2017,98.55
10/18/2017,460.01
5/10/2017,3460.8
1/24/2018,1953.41
9/20/2018,0
10/24/2018,64.75
5/15/2018,97.3
3/27/2017,306.6
7/14/2016,5
3/3/2016,0
3/2/2016,576
11/6/2015,45
8/1/2017,1662.37
8/31/2018,1199.85
4/23/2019,379.95
6/30/2016,2075
1/21/2019,3520.89
8/27/2018,3273.47
11/4/2019,4443.12
6/2/2017,99.95
12/28/2016,882
4/16/2018,4196.35
6/6/2018,1064.66
8/5/2015,795
3/28/2016,5242
12/7/2019,1326.55
6/23/2016,192
9/28/2015,2781
5/18/2016,2108.01
10/24/2019,529.95
11/27/2019,436.81
7/18/2017,59.7
7/31/2018,2132.61
5/23/2015,5980
5/16/2015,23.85
2/18/2019,31.89
3/28/2017,2877.9
3/22/2018,252.95
10/16/2015,28.5
1/24/2017,0
7/3/2019,59.9
4/25/2019,1599.8
9/14/2018,15.95
8/18/2017,899.85
5/17/2019,3684.66
11/10/2017,924.65
3/13/2017,1479.7
1/11/2017,504
6/24/2019,4199.51
8/15/2017,341.96
11/19/2015,1264
12/3/2015,2188
2/10/2016,0
9/28/2017,289.9
6/7/2018,2519.65
10/4/2017,299.95
11/12/2018,45.95
10/15/2019,3412.02
3/6/2018,5.95
4/26/2019,0
4/25/2019,4359.6
5/19/2016,449
12/18/2017,4393.16
4/4/2017,38.85
6/7/2015,639
4/11/2017,440.85
2/18/2016,569
4/5/2016,448
9/24/2019,1279.9
3/14/2017,662.85
12/1/2018,2462.01
11/13/2015,0
3/7/2019,99.75
9/23/2019,225
4/20/2016,1394
6/13/2016,6877
10/9/2015,529
6/14/2019,25.9
4/7/2017,77.7
6/27/2019,2369.6
11/9/2019,299.85
12/8/2015,12696
8/1/2016,4604.25
11/21/2016,0
7/14/2015,0
9/12/2016,2082
5/17/2019,899.85
4/2/2018,179.7
10/13/2018,0
6/8/2015,38
1/26/2017,283.95
1/18/2016,1197
1/17/2018,5941.86
11/10/2018,6.95
7/23/2018,1130.6
5/13/2016,30436.5
12/10/2018,194.25
2/21/2018,257.19
10/30/2018,56.15
2/11/2019,155
5/31/2019,-7.11E-15
11/15/2017,2764.61
1/25/2016,20
12/4/2018,398.85
6/13/2016,4081.25
9/30/2016,44
9/27/2019,181.3
12/8/2018,16.95
7/5/2019,2777.42
12/28/2017,2232.2
4/5/2017,1344.65
11/5/2015,1433.56
3/16/2017,5729.05
7/1/2016,40
12/5/2015,825
10/11/2017,2.49E-14
5/20/2015,276
8/16/2017,1176.05
6/10/2015,50
